ID,Candidate (Candidate Tiers),Rank (Candidate Tiers)
cu59ogo1om,j1on6ii4sf,1
,ektnjkve9a,2
,iorvjnj816,3
,9idpm7tvaq,4
,m3oicha16v,5
64aj2m6fgk,iorvjnj816,1
,03jvle8gs1,2
,2qla7p0srb,3
,f3m1k5kdvq,4
,40ulihclif,5
0k8pibj7db,ektnjkve9a,1
,iorvjnj816,2
,jam4hd18v7,3
,03jvle8gs1,4
,38sjg08ntp,5
754f8dqhrb,u17od770nd,1
,j1on6ii4sf,2
,03jvle8gs1,3
,38sjg08ntp,4
,iorvjnj816,5
a2ckhh1bep,iorvjnj816,1
,ektnjkve9a,2
,03jvle8gs1,3
,40ulihclif,4
,jam4hd18v7,5
2a7mmb9s0n,u17od770nd,1
,m3oicha16v,2
,ektnjkve9a,3
,9idpm7tvaq,4
,2qla7p0srb,5
f0m1mmemq1,u17od770nd,1
,j1on6ii4sf,2
,03jvle8gs1,3
,iorvjnj816,4
,38sjg08ntp,5
dubqlv8vdk,iorvjnj816,1
,ektnjkve9a,2
,92vlf9qc8c,3
,9idpm7tvaq,4
,jam4hd18v7,5
2r88iur9qh,iorvjnj816,1
,9idpm7tvaq,2
,jam4hd18v7,3
,40ulihclif,4
,38sjg08ntp,5
8l2m1lb03t,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
40oviqa9v2,9idpm7tvaq,1
,ektnjkve9a,2
,iorvjnj816,3
,aed6qu7jhp,4
,jam4hd18v7,5
fmpmjbc4ar,9idpm7tvaq,1
,j1on6ii4sf,2
,iorvjnj816,3
,38sjg08ntp,4
,m3oicha16v,5
6hj9sfuqhl,03jvle8gs1,1
,jam4hd18v7,2
,9idpm7tvaq,3
,38sjg08ntp,4
,iorvjnj816,5
5gguekhuvm,9idpm7tvaq,1
,m3oicha16v,2
,f3m1k5kdvq,3
,ektnjkve9a,4
,38sjg08ntp,5
9dqu3i97sc,jam4hd18v7,1
,40ulihclif,2
,38sjg08ntp,3
,ektnjkve9a,4
,9idpm7tvaq,5
68uiha1vvr,9idpm7tvaq,1
,j1on6ii4sf,2
,ektnjkve9a,3
,2qla7p0srb,4
,u17od770nd,5
04lsp0jdqf,u17od770nd,1
,9idpm7tvaq,2
,j1on6ii4sf,3
,ektnjkve9a,4
,iorvjnj816,5
c18tfi3cqb,9idpm7tvaq,1
,u17od770nd,2
,aed6qu7jhp,3
,iorvjnj816,4
,m3oicha16v,5
5ri15tbui3,9idpm7tvaq,1
,2qla7p0srb,2
,38sjg08ntp,3
,f3m1k5kdvq,4
,40ulihclif,5
0469ll1bko,9idpm7tvaq,1
,j1on6ii4sf,2
,03jvle8gs1,3
,bsu9c3jj9q,4
,m3oicha16v,5
0rv67kc637,03jvle8gs1,1
,ektnjkve9a,2
,iorvjnj816,3
,9idpm7tvaq,4
,bsu9c3jj9q,5
brkjgpvvs2,iorvjnj816,1
,ektnjkve9a,2
,u17od770nd,3
,2qla7p0srb,4
,aed6qu7jhp,5
4ol8hc6q5j,j1on6ii4sf,1
,9idpm7tvaq,2
,u17od770nd,3
,ektnjkve9a,4
,iorvjnj816,5
ejhv6mtui5,j1on6ii4sf,1
,m3oicha16v,2
,iorvjnj816,3
,ektnjkve9a,4
,u17od770nd,5
1hqp3d7qe5,03jvle8gs1,1
,u17od770nd,2
,iorvjnj816,3
,ektnjkve9a,4
,92vlf9qc8c,5
3f01rq08c7,ektnjkve9a,1
,iorvjnj816,2
,aed6qu7jhp,3
,u17od770nd,4
,9idpm7tvaq,5
77p1oncdqe,m3oicha16v,1
,2qla7p0srb,2
,f3m1k5kdvq,3
,iorvjnj816,4
,ektnjkve9a,5
a77q37122l,03jvle8gs1,1
,iorvjnj816,2
,2qla7p0srb,3
,9idpm7tvaq,4
,u17od770nd,5
72d6jl4ug6,9idpm7tvaq,1
,u17od770nd,2
,92vlf9qc8c,3
,03jvle8gs1,4
,f3m1k5kdvq,5
frbknrjgm9,u17od770nd,1
,iorvjnj816,2
,9idpm7tvaq,3
,ektnjkve9a,4
,m3oicha16v,5
5euud24n7f,iorvjnj816,1
,9idpm7tvaq,2
,ektnjkve9a,3
,m3oicha16v,4
,03jvle8gs1,5
9jolbqh4uk,ektnjkve9a,1
,iorvjnj816,2
,2qla7p0srb,3
,9idpm7tvaq,4
,u17od770nd,5
5hi3k6oka6,aed6qu7jhp,1
,j1on6ii4sf,2
,iorvjnj816,3
,38sjg08ntp,4
,2qla7p0srb,5
9157kmsse6,iorvjnj816,1
,aed6qu7jhp,2
,j1on6ii4sf,3
,38sjg08ntp,4
,ektnjkve9a,5
7qlo4a17bs,03jvle8gs1,1
,u17od770nd,2
,ektnjkve9a,3
,9idpm7tvaq,4
,iorvjnj816,5
6j9nfe48ot,u17od770nd,1
,iorvjnj816,2
,j1on6ii4sf,3
,m3oicha16v,4
,bsu9c3jj9q,5
09tr796jqs,ektnjkve9a,1
,iorvjnj816,2
,j1on6ii4sf,3
,9idpm7tvaq,4
,bsu9c3jj9q,5
22j2lpagck,iorvjnj816,1
,aed6qu7jhp,2
,40ulihclif,3
,jam4hd18v7,4
,9idpm7tvaq,5
50s98m2gui,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
brd3lrm5nf,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
br36kjith9,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
3q3c9tdtbu,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,ektnjkve9a,4
,bsu9c3jj9q,5
cpe6f0tr0t,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
fp8ou5bdl6,ektnjkve9a,1
,u17od770nd,2
,j1on6ii4sf,3
,bsu9c3jj9q,4
,03jvle8gs1,5
0o6h16n9r3,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
cngesi8276,03jvle8gs1,1
,u17od770nd,2
,ektnjkve9a,3
,92vlf9qc8c,4
,2qla7p0srb,5
4k0aenhpga,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,ektnjkve9a,4
,iorvjnj816,5
5jlga5so90,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
1jh8f8vm0s,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,bsu9c3jj9q,4
,m3oicha16v,5
aj2ml75tbn,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,ektnjkve9a,4
,2qla7p0srb,5
6h17bgmjqq,03jvle8gs1,1
,u17od770nd,2
,j1on6ii4sf,3
,m3oicha16v,4
,ektnjkve9a,5
1cnatot1qn,m3oicha16v,1
,iorvjnj816,2
,j1on6ii4sf,3
,ektnjkve9a,4
,9idpm7tvaq,5
90preje6m5,03jvle8gs1,1
,92vlf9qc8c,2
,iorvjnj816,3
,m3oicha16v,4
,9idpm7tvaq,5
cegq7e99lu,m3oicha16v,1
,iorvjnj816,2
,u17od770nd,3
,bsu9c3jj9q,4
,03jvle8gs1,5
675n99eojc,bsu9c3jj9q,1
,03jvle8gs1,2
,iorvjnj816,3
,9idpm7tvaq,4
,m3oicha16v,5
eq7r61oo2v,ektnjkve9a,1
,jam4hd18v7,2
,iorvjnj816,3
,m3oicha16v,4
,38sjg08ntp,5
9dkb66mm4s,bsu9c3jj9q,1
,ektnjkve9a,2
,m3oicha16v,3
,03jvle8gs1,4
,aed6qu7jhp,5
d7e366ppsl,u17od770nd,1
,03jvle8gs1,2
,2qla7p0srb,3
,92vlf9qc8c,4
,ektnjkve9a,5
34i7evjuu8,iorvjnj816,1
,aed6qu7jhp,2
,40ulihclif,3
,jam4hd18v7,4
,92vlf9qc8c,5
44rl856c08,j1on6ii4sf,1
,9idpm7tvaq,2
,u17od770nd,3
,ektnjkve9a,4
,2qla7p0srb,5
53nci90vob,03jvle8gs1,1
,40ulihclif,2
,jam4hd18v7,3
,9idpm7tvaq,4
,38sjg08ntp,5
4j8ko9d41k,ektnjkve9a,1
,u17od770nd,2
,jam4hd18v7,3
,38sjg08ntp,4
,9idpm7tvaq,5
bspaufopnf,ektnjkve9a,1
,2qla7p0srb,2
,aed6qu7jhp,3
,9idpm7tvaq,4
,iorvjnj816,5
csn19cqf19,iorvjnj816,1
,ektnjkve9a,2
,03jvle8gs1,3
,f3m1k5kdvq,4
,aed6qu7jhp,5
crp1g1j15m,iorvjnj816,1
,ektnjkve9a,2
,bsu9c3jj9q,3
,40ulihclif,4
,jam4hd18v7,5
2kmntuc6ts,m3oicha16v,1
,ektnjkve9a,2
,9idpm7tvaq,3
,38sjg08ntp,4
,2qla7p0srb,5
fgl6ue3u71,u17od770nd,1
,iorvjnj816,2
,9idpm7tvaq,3
,ektnjkve9a,4
,bsu9c3jj9q,5
47opccl636,iorvjnj816,1
,ektnjkve9a,2
,38sjg08ntp,3
,aed6qu7jhp,4
,2qla7p0srb,5
03cj4ajeep,iorvjnj816,1
,ektnjkve9a,2
,aed6qu7jhp,3
,40ulihclif,4
,9idpm7tvaq,5
doup94fm80,03jvle8gs1,1
,u17od770nd,2
,9idpm7tvaq,3
,ektnjkve9a,4
,m3oicha16v,5
1c46ikessi,j1on6ii4sf,1
,ektnjkve9a,2
,iorvjnj816,3
,m3oicha16v,4
,bsu9c3jj9q,5
e0dqrmfsvq,iorvjnj816,1
,f3m1k5kdvq,2
,38sjg08ntp,3
,u17od770nd,4
,40ulihclif,5
6lfogertl6,u17od770nd,1
,ektnjkve9a,2
,j1on6ii4sf,3
,38sjg08ntp,4
,m3oicha16v,5
2jfu7p77kg,ektnjkve9a,1
,9idpm7tvaq,2
,iorvjnj816,3
,bsu9c3jj9q,4
,aed6qu7jhp,5
7i6gmfamvv,38sjg08ntp,1
,2qla7p0srb,2
,bsu9c3jj9q,3
,iorvjnj816,4
,40ulihclif,5
2hu9kb6078,38sjg08ntp,1
,jam4hd18v7,2
,ektnjkve9a,3
,m3oicha16v,4
,03jvle8gs1,5
4f61dp0ac4,iorvjnj816,1
,j1on6ii4sf,2
,38sjg08ntp,3
,jam4hd18v7,4
,ektnjkve9a,5
3e68vbmqiu,iorvjnj816,1
,ektnjkve9a,2
,jam4hd18v7,3
,m3oicha16v,4
,92vlf9qc8c,5
7dcu3167ms,iorvjnj816,1
,ektnjkve9a,2
,j1on6ii4sf,3
,38sjg08ntp,4
,40ulihclif,5
bcp4pjgljo,jam4hd18v7,1
,bsu9c3jj9q,2
,ektnjkve9a,3
,40ulihclif,4
,iorvjnj816,5
fci0esp7il,iorvjnj816,1
,aed6qu7jhp,2
,ektnjkve9a,3
,bsu9c3jj9q,4
,jam4hd18v7,5
db7vtjldus,jam4hd18v7,1
,ektnjkve9a,2
,2qla7p0srb,3
,bsu9c3jj9q,4
,iorvjnj816,5
9a9vgn1pdo,iorvjnj816,1
,38sjg08ntp,2
,jam4hd18v7,3
,ektnjkve9a,4
,u17od770nd,5
eskk843dc4,9idpm7tvaq,1
,03jvle8gs1,2
,aed6qu7jhp,3
,92vlf9qc8c,4
,bsu9c3jj9q,5
almi957m83,j1on6ii4sf,1
,92vlf9qc8c,2
,u17od770nd,3
,m3oicha16v,4
,aed6qu7jhp,5
1tn47oi8nd,j1on6ii4sf,1
,u17od770nd,2
,03jvle8gs1,3
,iorvjnj816,4
,m3oicha16v,5
3s1451la7n,u17od770nd,1
,03jvle8gs1,2
,j1on6ii4sf,3
,9idpm7tvaq,4
,m3oicha16v,5
emq3rpmtav,92vlf9qc8c,1
,03jvle8gs1,2
,u17od770nd,3
,38sjg08ntp,4
,m3oicha16v,5
ff3q72sdbs,u17od770nd,1
,f3m1k5kdvq,2
,j1on6ii4sf,3
,38sjg08ntp,4
,03jvle8gs1,5
f20hic4h0n,ektnjkve9a,1
,u17od770nd,2
,2qla7p0srb,3
,38sjg08ntp,4
,40ulihclif,5
9ua01d3uep,iorvjnj816,1
,38sjg08ntp,2
,2qla7p0srb,3
,40ulihclif,4
,9idpm7tvaq,5
bnfh2nvei6,u17od770nd,1
,38sjg08ntp,2
,ektnjkve9a,3
,j1on6ii4sf,4
,03jvle8gs1,5
6m7690aggs,j1on6ii4sf,1
,03jvle8gs1,2
,m3oicha16v,3
,ektnjkve9a,4
,u17od770nd,5
1ji8eq9g3u,92vlf9qc8c,1
,f3m1k5kdvq,2
,aed6qu7jhp,3
,03jvle8gs1,4
,bsu9c3jj9q,5
dh1vlq4ncs,38sjg08ntp,1
,aed6qu7jhp,2
,40ulihclif,3
,iorvjnj816,4
,ektnjkve9a,5
e7ngj0e4l3,j1on6ii4sf,1
,u17od770nd,2
,m3oicha16v,3
,03jvle8gs1,4
,38sjg08ntp,5
3u5d8db6qb,iorvjnj816,1
,j1on6ii4sf,2
,03jvle8gs1,3
,bsu9c3jj9q,4
,40ulihclif,5
dmm34at5as,u17od770nd,1
,03jvle8gs1,2
,j1on6ii4sf,3
,9idpm7tvaq,4
,m3oicha16v,5
94licitv6a,ektnjkve9a,1
,9idpm7tvaq,2
,m3oicha16v,3
,iorvjnj816,4
,aed6qu7jhp,5
0qvspg7u0d,iorvjnj816,1
,u17od770nd,2
,ektnjkve9a,3
,03jvle8gs1,4
,40ulihclif,5
4a2dfa5i8q,iorvjnj816,1
,ektnjkve9a,2
,40ulihclif,3
,u17od770nd,4
,j1on6ii4sf,5
1u86nkitjn,2qla7p0srb,1
,03jvle8gs1,2
,ektnjkve9a,3
,38sjg08ntp,4
,aed6qu7jhp,5
67rjml7idt,03jvle8gs1,1
,f3m1k5kdvq,2
,j1on6ii4sf,3
,9idpm7tvaq,4
,u17od770nd,5
epmevbid6d,j1on6ii4sf,1
,u17od770nd,2
,03jvle8gs1,3
,40ulihclif,4
,bsu9c3jj9q,5
0moacmpcqd,j1on6ii4sf,1
,iorvjnj816,2
,m3oicha16v,3
,ektnjkve9a,4
,9idpm7tvaq,5
2ikj9434u4,j1on6ii4sf,1
,03jvle8gs1,2
,2qla7p0srb,3
,bsu9c3jj9q,4
,u17od770nd,5
emq7mu9f1q,u17od770nd,1
,ektnjkve9a,2
,03jvle8gs1,3
,j1on6ii4sf,4
,m3oicha16v,5
adu5u1o8ps,j1on6ii4sf,1
,03jvle8gs1,2
,f3m1k5kdvq,3
,m3oicha16v,4
,ektnjkve9a,5
d3qoqtnk74,03jvle8gs1,1
,m3oicha16v,2
,jam4hd18v7,3
,38sjg08ntp,4
,ektnjkve9a,5
7vsqparb1f,j1on6ii4sf,1
,iorvjnj816,2
,03jvle8gs1,3
,m3oicha16v,4
,bsu9c3jj9q,5
5b1tlqprsl,j1on6ii4sf,1
,iorvjnj816,2
,ektnjkve9a,3
,m3oicha16v,4
,2qla7p0srb,5
81rrkrbu76,u17od770nd,1
,iorvjnj816,2
,aed6qu7jhp,3
,j1on6ii4sf,4
,bsu9c3jj9q,5
9p94ikrd46,j1on6ii4sf,1
,m3oicha16v,2
,aed6qu7jhp,3
,bsu9c3jj9q,4
,u17od770nd,5
48pcms2cq3,aed6qu7jhp,1
,ektnjkve9a,2
,u17od770nd,3
,jam4hd18v7,4
,iorvjnj816,5
38ue2qhena,40ulihclif,1
,jam4hd18v7,2
,03jvle8gs1,3
,ektnjkve9a,4
,aed6qu7jhp,5
em80ualtfc,ektnjkve9a,1
,aed6qu7jhp,2
,40ulihclif,3
,38sjg08ntp,4
,f3m1k5kdvq,5
66tms1sotp,9idpm7tvaq,1
,ektnjkve9a,2
,jam4hd18v7,3
,38sjg08ntp,4
,bsu9c3jj9q,5
a5odq5fe1b,j1on6ii4sf,1
,u17od770nd,2
,m3oicha16v,3
,03jvle8gs1,4
,ektnjkve9a,5
dve6qsd6m0,aed6qu7jhp,1
,38sjg08ntp,2
,iorvjnj816,3
,jam4hd18v7,4
,ektnjkve9a,5
em90shkopa,bsu9c3jj9q,1
,03jvle8gs1,2
,iorvjnj816,3
,92vlf9qc8c,4
,u17od770nd,5
7e76q3rp0l,9idpm7tvaq,1
,f3m1k5kdvq,2
,ektnjkve9a,3
,2qla7p0srb,4
,03jvle8gs1,5
3cn1gqighu,aed6qu7jhp,1
,jam4hd18v7,2
,9idpm7tvaq,3
,iorvjnj816,4
,40ulihclif,5
2j9cljum07,j1on6ii4sf,1
,ektnjkve9a,2
,03jvle8gs1,3
,u17od770nd,4
,2qla7p0srb,5
bec6idkgat,ektnjkve9a,1
,9idpm7tvaq,2
,03jvle8gs1,3
,m3oicha16v,4
,38sjg08ntp,5
ashvi6r3lf,iorvjnj816,1
,2qla7p0srb,2
,m3oicha16v,3
,bsu9c3jj9q,4
,ektnjkve9a,5
1empm5ipb7,bsu9c3jj9q,1
,92vlf9qc8c,2
,j1on6ii4sf,3
,03jvle8gs1,4
,u17od770nd,5
a7c35tov8i,ektnjkve9a,1
,2qla7p0srb,2
,aed6qu7jhp,3
,iorvjnj816,4
,jam4hd18v7,5
44fu7un4es,ektnjkve9a,1
,2qla7p0srb,2
,40ulihclif,3
,u17od770nd,4
,9idpm7tvaq,5
eigb82bgov,9idpm7tvaq,1
,j1on6ii4sf,2
,03jvle8gs1,3
,u17od770nd,4
,38sjg08ntp,5
6ibfrritb7,bsu9c3jj9q,1
,f3m1k5kdvq,2
,m3oicha16v,3
,jam4hd18v7,4
,ektnjkve9a,5
dvmge4sg2c,03jvle8gs1,1
,u17od770nd,2
,m3oicha16v,3
,bsu9c3jj9q,4
,9idpm7tvaq,5
cip05t04m7,jam4hd18v7,1
,iorvjnj816,2
,38sjg08ntp,3
,m3oicha16v,4
,03jvle8gs1,5
09c8i8ei81,ektnjkve9a,1
,iorvjnj816,2
,aed6qu7jhp,3
,2qla7p0srb,4
,jam4hd18v7,5
7tohl8r515,2qla7p0srb,1
,aed6qu7jhp,2
,iorvjnj816,3
,ektnjkve9a,4
,9idpm7tvaq,5
8s1lmlcvf5,9idpm7tvaq,1
,j1on6ii4sf,2
,m3oicha16v,3
,ektnjkve9a,4
,u17od770nd,5
2ls2nf68kg,ektnjkve9a,1
,40ulihclif,2
,jam4hd18v7,3
,92vlf9qc8c,4
,aed6qu7jhp,5
64t41uh8j2,ektnjkve9a,1
,aed6qu7jhp,2
,iorvjnj816,3
,2qla7p0srb,4
,40ulihclif,5
3tgv479e3a,ektnjkve9a,1
,j1on6ii4sf,2
,9idpm7tvaq,3
,iorvjnj816,4
,aed6qu7jhp,5
at0a57lfn6,aed6qu7jhp,1
,92vlf9qc8c,2
,38sjg08ntp,3
,03jvle8gs1,4
,f3m1k5kdvq,5
ef6dfvfsr1,ektnjkve9a,1
,9idpm7tvaq,2
,j1on6ii4sf,3
,u17od770nd,4
,03jvle8gs1,5
796rb3kbjn,03jvle8gs1,1
,ektnjkve9a,2
,9idpm7tvaq,3
,j1on6ii4sf,4
,m3oicha16v,5
b5lbbql6jv,ektnjkve9a,1
,iorvjnj816,2
